T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
273,True,No Result,9/24/2012,Ireland,129,6,19.0,6.789473684,West Indies,0,0,0.0,,R Premadasa Stadium,Colombo,Sri Lanka
274,True,Pakistan,9/25/2012,Bangladesh,175,6,20.0,8.75,Pakistan,178,2,18.4,9.535714286,Pallekele International Cricket Stadium,Kandy,Sri Lanka
275,True,Tie,9/27/2012,New Zealand,174,7,20.0,8.7,Sri Lanka,174,6,20.0,8.7,Pallekele International Cricket Stadium,Kandy,Sri Lanka
276,True,West Indies,9/27/2012,West Indies,179,5,20.0,8.95,England,164,4,20.0,8.2,Pallekele International Cricket Stadium,Kandy,Sri Lanka
277,True,Pakistan,9/28/2012,South Africa,133,6,20.0,6.65,Pakistan,136,8,19.4,6.915254237,R Premadasa Stadium,Colombo,Sri Lanka
278,True,Australia,9/28/2012,India,140,7,20.0,7.0,Australia,141,1,14.5,9.505617978,R Premadasa Stadium,Colombo,Sri Lanka
279,True,England,9/29/2012,New Zealand,148,6,20.0,7.4,England,149,4,18.5,7.911504425,Pallekele International Cricket Stadium,Kandy,Sri Lanka
280,True,Sri Lanka,9/29/2012,West Indies,129,5,20.0,6.45,Sri Lanka,130,1,15.2,8.47826087,Pallekele International Cricket Stadium,Kandy,Sri Lanka
281,True,Australia,9/30/2012,South Africa,146,5,20.0,7.3,Australia,147,2,17.4,8.320754717,R Premadasa Stadium,Colombo,Sri Lanka
282,True,India,9/30/2012,Pakistan,128,10,19.4,6.4,India,129,2,17.0,6.45,R Premadasa Stadium,Colombo,Sri Lanka
283,True,Tie,10/1/2012,West Indies,139,10,19.3,6.95,New Zealand,139,7,20.0,6.95,Pallekele International Cricket Stadium,Kandy,Sri Lanka
284,True,Sri Lanka,10/1/2012,Sri Lanka,169,6,20.0,8.45,England,150,9,20.0,7.5,Pallekele International Cricket Stadium,Kandy,Sri Lanka
285,True,Pakistan,10/2/2012,Pakistan,149,6,20.0,7.45,Australia,117,7,20.0,5.85,R Premadasa Stadium,Colombo,Sri Lanka
286,True,India,10/2/2012,India,152,6,20.0,7.6,South Africa,151,10,19.5,7.613445378,R Premadasa Stadium,Colombo,Sri Lanka
287,True,Sri Lanka,10/4/2012,Sri Lanka,139,4,20.0,6.95,Pakistan,123,7,20.0,6.15,R Premadasa Stadium,Colombo,Sri Lanka
288,True,West Indies,10/5/2012,West Indies,205,4,20.0,10.25,Australia,131,10,16.4,7.86,R Premadasa Stadium,Colombo,Sri Lanka
289,True,West Indies,10/7/2012,West Indies,137,6,20.0,6.85,Sri Lanka,101,10,18.4,5.410714286,R Premadasa Stadium,Colombo,Sri Lanka
290,False,No Result,10/30/2012,New Zealand,74,7,14.0,5.285714286,Sri Lanka,6,0,2.0,3.0,Pallekele International Cricket Stadium,Kandy,Sri Lanka
291,False,West Indies,12/10/2012,West Indies,197,4,20.0,9.85,Bangladesh,179,1,20.0,8.95,Shere Bangla National Stadium,Dhaka,Bangladesh
292,False,India,12/20/2012,England,157,6,20.0,7.85,India,158,5,17.5,8.859813084,Subrata Roy Sahara Stadium,Pune,India
293,False,South Africa,12/21/2012,New Zealand,86,10,18.2,4.3,South Africa,87,2,12.1,4.35,Kingsmead,Durban,South Africa
294,False,England,12/22/2012,India,177,8,20.0,8.85,England,181,4,20.0,9.05,Wankhede Stadium,Mumbai,India
295,False,New Zealand,12/23/2012,South Africa,165,5,19.0,8.684210526,New Zealand,169,2,19.0,8.894736842,Buffalo Park,East London,South Africa
296,False,Pakistan,12/25/2012,India,133,9,20.0,6.65,Pakistan,134,5,19.4,6.813559322,M Chinnaswamy Stadium,Bengaluru,South Africa
297,False,South Africa,12/26/2012,South Africa,179,6,20.0,8.95,New Zealand,146,9,20.0,7.3,St George's Park,Gqeberha,South Africa
298,False,India,12/28/2012,India,192,5,20.0,9.6,Pakistan,181,7,20.0,9.05,Sardar Patel Stadium,Ahmedabad,India
299,False,Sri Lanka,1/26/2013,Australia,137,3,20.0,6.85,Sri Lanka,139,5,18.5,7.380530973,Stadium Australia,Sydney,Australia
300,False,Sri Lanka,1/28/2013,Sri Lanka,161,4,20.0,8.05,Australia,119,3,15.0,7.933333333,Melbourne Cricket Ground,Melbourne,Australia
301,False,England,2/9/2013,England,214,7,20.0,10.7,New Zealand,174,9,20.0,8.7,Eden Park,Auckland,New  Zealand
302,False,New Zealand,2/12/2013,New Zealand,192,6,20.0,9.6,England,137,10,19.3,7.025641026,Seddon Park,Hamilton,New Zealand
303,False,West Indies,2/13/2013,West Indies,191,6,20.0,9.55,Australia,164,8,20.0,8.2,Brisbane Cricket Ground,Brisbane,Australia
304,False,England,2/15/2013,New Zealand,139,8,20.0,6.95,England,143,0,12.4,11.28947368,Westpac Stadium,Wellington,New Zealand
305,False,West Indies,3/2/2013,Zimbabwe,130,8,20.0,6.5,West Indies,131,2,16.1,8.103092784,Sir Vivian Richards Stadium,North Sound,West Indies
306,False,Pakistan,3/3/2013,Pakistan,195,7,20.0,9.75,South Africa,100,10,12.2,8.108108108,SuperSport Park,Centurion,South Africa
307,False,Afghanistan,3/3/2013,Afghanistan,132,7,20.0,6.6,Scotland,105,6,20.0,5.25,Sharjah Cricket Stadium,Sharjah,UAE
308,False,West Indies,3/3/2013,West Indies,158,7,20.0,7.9,Zimbabwe,117,6,20.0,5.85,Sir Vivian Richards Stadium,North Sound,West Indies
309,False,Afghanistan,3/4/2013,Scotland,139,7,20.0,6.95,Afghanistan,140,3,17.3,8.0,Sharjah Cricket Stadium,Sharjah,UAE
310,False,Canada,3/15/2013,Kenya,126,9,20.0,6.3,Canada,128,5,18.3,6.918918919,ICC Global Cricket Academy,Dubai,UAE
311,False,Kenya,3/16/2013,Kenya,139,7,20.0,6.95,Canada,118,10,18.5,6.265486726,ICC Global Cricket Academy,Dubai,UAE
312,False,Sri Lanka,3/31/2013,Sri Lanka,198,5,20.0,9.9,Bangladesh,181,7,20.0,9.05,Pallekele International Cricket Stadium,Kandy,Sri Lanka
313,False,Kenya,4/19/2013,Netherlands,172,5,20.0,8.6,Kenya,176,5,19.0,9.263157895,Wanderers Cricket Ground,Windhoek,Namibia
314,False,Kenya,4/20/2013,Netherlands,113,10,18.4,5.65,Kenya,114,3,12.2,5.7,Wanderers Cricket Ground,Windhoek,Namibia
315,False,Zimbabwe,5/11/2013,Zimbabwe,168,5,20.0,8.4,Bangladesh,162,8,20.0,8.1,Queens Sports Club,Bulawayo,Zimbabwe
